			Knight's Tour

Move						Sqaure
Number					Row	Column
1					1	1
2					2	3
3					1	5
4					2	7
5					4	8
6					6	7
7					8	8
8					7	6
9					8	4
10					7	2
11					5	1
12					3	2
13					1	3
14					2	5
15					1	7
16					3	8
17					5	7
18					7	8
19					8	6
20					7	4
21					8	2
22					6	1
23					4	2
24					2	1
25					3	3
26					1	4
27					2	6
28					1	8
29					3	7
30					5	8
31					7	7
32					8	5
33					7	3
34					8	1
35					6	2
36					4	1
37					2	2
38					3	4
39					5	5
40					4	3
41					2	4
42					1	2
43					3	1
44					5	2
45					7	1
46					8	3
47					6	4
48					4	5
49					5	3
50					6	5
51					4	6
52					5	4
53					7	5
54					8	7
55					6	6
56					4	7
57					6	8
58					5	6
59					3	5
60					1	6
61					2	8
62					3	6
63					4	4
64					6	3
